method,target,year,donors_used,n_models,rmse,runtime_sec
G_XGBoost,15,2017,"16,30,29,17,28,14,27",7,2.359522341292831,0.7901895046234131
G_XGBoost,15,2018,"16,30,29,17,28,14,27",7,2.4572742802272054,0.7915060520172119
G_XGBoost,16,2017,"15,17,30,29,18,32,33",7,2.5428468100289843,0.80733323097229
G_XGBoost,16,2018,"15,17,30,29,18,32,33",7,2.5066415507379927,0.8080840110778809
G_XGBoost,17,2017,"18,16,19,15,33,30,20",7,4.99250575668016,0.8046364784240723
G_XGBoost,17,2018,"18,16,19,15,33,30,20",7,4.323079640950342,0.8041360378265381
G_XGBoost,18,2017,"19,17,20,33,16,21,15",7,2.446721914118068,0.7784879207611084
G_XGBoost,18,2018,"19,17,20,33,16,21,15",7,2.51985010188778,0.7879979610443115
G_XGBoost,19,2017,"18,20,17,21,33,22,16",7,2.445134268216549,1.7588729858398438
G_XGBoost,19,2018,"18,20,17,21,33,22,16",7,2.570789683496279,1.7443022727966309
G_XGBoost,20,2017,"19,21,18,22,17,33,16",7,2.1932704870003294,0.7782750129699707
G_XGBoost,20,2018,"19,21,18,22,17,33,16",7,2.055812205303388,0.7770004272460938
G_XGBoost,21,2017,"22,20,19,18,33,17,50",7,3.265435493753666,0.7868287563323975
G_XGBoost,21,2018,"22,20,19,18,33,17,50",7,3.8116533280546188,0.7843189239501953
G_XGBoost,22,2017,"21,20,19,18,33,17,51",7,4.144130874410857,0.7642989158630371
G_XGBoost,22,2018,"21,20,19,18,33,17,51",7,2.7712093328782244,0.7634181976318359
G_XGBoost,23,2017,"24,26,13,25,12,14,27",7,3.2250261569897565,0.7977578639984131
G_XGBoost,23,2018,"24,26,13,25,12,14,27",7,3.0544683095540357,0.8010666370391846
G_XGBoost,24,2017,"26,23,25,14,27,13,12",7,2.871156687073881,0.7864575386047363
G_XGBoost,24,2018,"26,23,25,14,27,13,12",7,2.7462037962492842,0.7874472141265869
G_XGBoost,25,2017,"24,14,27,26,23,28,29",7,6.462115555727769,0.8010437488555908
G_XGBoost,25,2018,"24,14,27,26,23,28,29",7,4.320784603251308,0.7999129295349121
G_XGBoost,26,2017,"24,23,25,27,14,13,28",7,2.635941461932334,0.8005282878875732
G_XGBoost,26,2018,"24,23,25,27,14,13,28",7,3.1918414924634306,0.8008749485015869
G_XGBoost,27,2017,"28,25,26,29,24,14,31",7,2.942049418719202,0.8032190799713135
G_XGBoost,27,2018,"28,25,26,29,24,14,31",7,2.8454616337701384,0.8066425323486328
G_XGBoost,28,2017,"27,29,31,25,30,15,14",7,2.4540425725215416,0.8006100654602051
G_XGBoost,28,2018,"27,29,31,25,30,15,14",7,3.1838370636109614,0.7987043857574463
G_XGBoost,29,2017,"28,31,30,32,27,15,16",7,2.4761338579026604,0.8167293071746826
G_XGBoost,29,2018,"28,31,30,32,27,15,16",7,2.8151378310005164,0.8162622451782227
G_XGBoost,30,2017,"29,32,31,15,16,28,33",7,2.4508779459434784,0.8112983703613281
G_XGBoost,30,2018,"29,32,31,15,16,28,33",7,2.7183728613356086,0.8109440803527832
G_XGBoost,31,2017,"29,32,28,30,27,15,16",7,2.85700641713237,0.7981712818145752
G_XGBoost,31,2018,"29,32,28,30,27,15,16",7,3.2694103646207835,0.7954192161560059
G_XGBoost,32,2017,"30,31,29,33,28,16,15",7,2.6153556191486613,0.8716127872467041
G_XGBoost,32,2018,"30,31,29,33,28,16,15",7,3.2770077354916176,0.8693513870239258
G_XGBoost,33,2017,"32,18,30,19,17,16,20",7,3.0556368605372497,0.7878663539886475
G_XGBoost,33,2018,"32,18,30,19,17,16,20",7,2.9823351149994988,0.7874903678894043
G_XGBoost,34,2017,"35,26,27,36,23,24,25",7,2.452955866053413,0.7935247421264648
G_XGBoost,34,2018,"35,26,27,36,23,24,25",7,4.507033946393268,0.7937977313995361
